timestamp(ms),accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1447578,-1.002840,-0.032208,0.059048,0.280000,-1.260000,0.560000
1447687,-1.003816,-0.031720,0.054656,0.210000,-1.120000,0.560000
1447796,-1.005280,-0.033184,0.055144,0.280000,-1.260000,0.630000
1447905,-1.003816,-0.033184,0.054168,0.280000,-1.120000,0.560000
1448014,-1.001864,-0.031720,0.058072,0.350000,-1.190000,0.490000
1448123,-1.004304,-0.028792,0.056120,0.210000,-0.980000,0.490000
1448232,-1.001864,-0.031720,0.055632,0.350000,-1.050000,0.420000
1448341,-1.003816,-0.031232,0.057096,0.210000,-1.260000,0.490000
1448450,-1.001864,-0.031720,0.055144,0.280000,-1.330000,0.490000
1448559,-1.003328,-0.031720,0.058072,0.280000,-1.190000,0.630000
1448668,-1.004304,-0.030744,0.055144,0.280000,-1.050000,0.560000
1448777,-1.004304,-0.032208,0.056120,0.210000,-1.190000,0.490000
1448886,-1.003328,-0.030744,0.055144,0.350000,-1.190000,0.490000
1448995,-1.004304,-0.032696,0.055144,0.280000,-1.120000,0.490000
1449104,-1.003816,-0.031232,0.056120,0.210000,-1.050000,0.560000
1449213,-1.003328,-0.032208,0.056120,0.210000,-1.120000,0.490000
1449322,-1.002840,-0.031720,0.057096,0.280000,-1.260000,0.630000
1449431,-1.004304,-0.032208,0.057096,0.280000,-1.330000,0.560000
1449540,-1.003816,-0.031232,0.057096,0.210000,-1.260000,0.560000
1449649,-1.005768,-0.031720,0.055632,0.280000,-1.190000,0.490000
1449758,-1.004792,-0.031720,0.055632,0.280000,-1.190000,0.490000
1449867,-1.005768,-0.031720,0.055632,0.280000,-1.190000,0.490000
1449976,-1.004304,-0.031232,0.055632,0.350000,-1.260000,0.490000
1450085,-1.004304,-0.032696,0.055144,0.280000,-1.260000,0.490000
1450194,-1.003816,-0.029280,0.053192,0.280000,-1.120000,0.560000
1450303,-1.005280,-0.030744,0.057584,0.280000,-1.260000,0.560000
1450412,-1.005768,-0.033184,0.056120,0.210000,-1.190000,0.490000
1450521,-1.005768,-0.031232,0.056120,0.280000,-1.260000,0.490000
1450630,-1.030656,-0.027816,0.042944,0.910000,-3.080000,-1.470000
1450739,-1.010648,-0.023424,0.056608,0.700000,-2.590000,-2.240000
1450849,-1.006256,-0.031720,0.052704,0.140000,-3.920000,3.920000
1450958,-0.986248,-0.037088,0.066368,0.630000,-2.450000,-0.560000
1451067,-0.993080,-0.027328,0.064416,0.420000,0.280000,-1.190000
1451176,-1.007232,-0.028304,0.056120,-0.210000,0.140000,1.890000
1451285,-1.011136,-0.033672,0.050752,0.210000,-0.910000,1.120000
1451394,-1.011624,-0.033184,0.050264,0.490000,-2.030000,0.000000
1451503,-1.000888,-0.030256,0.058072,0.420000,-1.890000,-0.070000
1451613,-0.993568,-0.027816,0.060512,0.210000,-0.980000,0.560000
1451722,-1.003816,-0.032208,0.058072,0.140000,-0.560000,0.980000
1451831,-1.007232,-0.031232,0.054168,0.210000,-0.840000,0.700000
1451940,-1.008208,-0.032696,0.054656,0.350000,-1.820000,0.350000
1452049,-1.002352,-0.031232,0.056120,0.350000,-1.540000,0.280000
1452158,-0.999912,-0.028792,0.057096,0.210000,-0.770000,0.560000
1452267,-1.004304,-0.030744,0.055144,0.140000,-0.630000,0.700000
1452376,-1.009184,-0.031232,0.055144,0.210000,-1.260000,0.630000
1452485,-1.003816,-0.030744,0.054168,0.350000,-1.750000,0.490000
1452594,-1.002352,-0.037576,0.057584,0.420000,-1.260000,0.560000
1452703,-0.991616,0.155672,0.024888,-20.790001,-7.420000,2.870000
1452812,-1.397144,0.066368,0.141032,7.700000,-45.290001,55.439999
1452921,-1.170224,0.207888,0.175680,19.180000,-87.360001,72.029999
1453030,-0.973072,0.294264,0.287920,20.299999,-90.580002,87.849998
1453139,-0.791536,0.377224,0.426024,24.360001,-78.540001,75.040001
1453249,-0.646112,0.518744,0.522160,18.549999,-84.980003,71.050003
1453358,-0.413336,0.594872,0.568032,8.120000,-83.860001,65.449997
1453467,-0.240096,0.610000,0.529480,8.960000,-66.639999,57.119999
1453576,-0.073200,0.656360,0.544608,-3.640000,-46.060001,20.510000
1453685,0.019520,0.728096,0.596336,-10.850000,-26.670000,5.460000
1453794,-0.056120,0.770552,0.704184,-4.130000,-13.020000,27.790001
1453903,-0.010736,0.634400,0.712968,-13.580000,-24.010000,26.320000
1454012,0.047336,0.613904,0.686128,-5.880000,-12.600000,20.370001
1454121,0.102480,0.610488,0.715408,-3.010000,-5.460000,2.100000
1454230,0.076128,0.637816,0.727608,-1.260000,-1.820000,-2.800000
1454339,0.079544,0.689056,0.739320,1.680000,0.490000,-4.270000
1454448,0.041480,0.675880,0.726632,0.280000,1.260000,5.880000
1454557,0.129320,0.589504,0.658312,3.150000,5.880000,-0.070000
1454666,0.067832,0.630008,0.725168,4.060000,5.390000,-8.890000
1454775,0.062464,0.585112,0.606584,7.280000,18.129999,-22.540001
1454884,0.045384,0.502152,0.543144,20.790001,63.980000,-72.029999
1454993,-0.174704,0.673440,0.470920,-0.630000,101.360001,-107.870003
1455102,-0.571936,0.665632,0.480680,-13.860000,124.879997,-89.949997
1455211,-0.986248,0.297680,0.419680,-15.820000,111.790001,-115.570000
1455320,-1.149728,0.200080,0.341600,-26.670000,82.809998,-141.610001
1455429,-1.167296,0.107848,0.229848,-29.959999,47.180000,-60.689999
1455538,-1.169736,-0.099064,0.122488,-15.890000,7.490000,2.940000
1455647,-1.056520,-0.101016,0.102480,4.200000,4.340000,4.620000
1455756,-0.992104,-0.080520,0.108336,1.960000,0.000000,-10.570000
1455865,-1.019920,-0.044408,0.059048,10.780000,4.130000,-10.430000
1455974,-1.038952,-0.014152,0.083448,0.350000,9.520000,3.430000
1456083,-1.019432,-0.039040,0.051728,0.420000,-3.990000,6.510000
1456192,-0.995520,-0.095160,0.079056,16.520000,16.940001,3.150000
1456301,-1.009672,-0.068320,0.047336,5.740000,2.310000,4.830000
1456410,-1.170224,-0.015616,0.070760,-3.010000,-13.790000,-2.240000
1456520,-0.969168,-0.047824,0.028792,0.000000,-0.140000,1.120000
1456629,-0.993568,0.020984,0.045384,-1.400000,7.770000,3.430000
1456738,-0.954040,-0.032696,0.073200,-2.030000,6.300000,-2.380000
1456848,-0.963312,-0.047824,0.081008,-1.190000,3.850000,4.970000
1456957,-0.948184,-0.021472,0.080520,-0.630000,3.500000,0.350000
1457066,-0.978440,-0.037088,0.062464,-0.630000,4.690000,-0.280000
1457175,-1.012600,-0.040016,0.046848,-0.280000,3.500000,1.470000
1457284,-1.038952,-0.035136,0.039040,0.070000,0.630000,1.190000
1457393,-1.027240,-0.033184,0.039040,0.350000,-2.170000,0.630000
1457502,-1.017480,-0.033672,0.048800,0.560000,-3.920000,0.140000
1457611,-0.993080,-0.029768,0.059048,0.490000,-3.220000,0.350000
1457720,-0.986248,-0.032696,0.061000,0.280000,-0.980000,0.840000
1457829,-0.998936,-0.032208,0.058560,0.000000,0.700000,1.050000
1457938,-1.015040,-0.035624,0.048312,0.140000,0.070000,0.840000
